temperature_K,fov_case,axis,index,power_W
340,narrow,row,82,3.73958660319658e-09
340,narrow,row,83,3.7393772676825505e-09
340,narrow,row,84,3.739098181005292e-09
340,narrow,row,85,3.738749366593766e-09
340,narrow,row,86,3.738330853725984e-09
340,narrow,row,87,3.7378426775235444e-09
340,narrow,row,88,3.737284878945073e-09
340,narrow,row,89,3.736657504778612e-09
340,narrow,row,90,3.7359606076328846e-09
340,narrow,row,91,3.7351942459274945e-09
340,narrow,row,92,3.7343584838820605e-09
340,narrow,row,93,3.7334533915042695e-09
340,narrow,row,94,3.732479044576844e-09
340,narrow,row,95,3.7314355246434636e-09
340,narrow,row,96,3.730322918993631e-09
340,narrow,row,97,3.72914132064643e-09
340,narrow,row,98,3.7278908283333285e-09
340,narrow,row,99,3.726571546479832e-09
340,narrow,row,100,3.725183585186167e-09
340,narrow,row,101,3.723727060206899e-09
340,narrow,row,102,3.7222020929295505e-09
340,narrow,row,103,3.7206088103521576e-09
340,narrow,row,104,3.7189473450598634e-09
340,narrow,row,105,3.7172178352004677e-09
340,narrow,row,106,3.7154204244589955e-09
340,narrow,row,107,3.7135552620312745e-09
340,narrow,row,108,3.7116225025965423e-09
340,narrow,row,109,3.7096223062890622e-09
340,narrow,row,110,3.707554838668785e-09
340,narrow,row,111,3.7054202706910622e-09
340,narrow,row,112,3.7032187786754157e-09
340,narrow,row,113,3.7009505442733694e-09
340,narrow,row,114,3.6986157544353405e-09
340,narrow,row,115,3.6962146013766695e-09
340,narrow,row,116,3.6937472825426836e-09
340,narrow,row,117,3.6912140005729026e-09
340,narrow,row,118,3.6886149632643797e-09
340,narrow,row,119,3.685950383534131e-09
340,narrow,row,120,3.6832204793807537e-09
340,narrow,row,121,3.68042547384516e-09
340,narrow,row,122,3.6775655949705094e-09
340,narrow,row,123,3.6746410757613e-09
340,narrow,row,124,3.6716521541416703e-09
340,narrow,row,125,3.6685990729128827e-09
340,narrow,row,126,3.6654820797100494e-09
340,narrow,row,127,3.6623014269580867e-09
340,narrow,row,128,3.6590573718268938e-09
340,narrow,row,129,3.6557501761858085e-09
340,narrow,row,130,3.652380106557351e-09
340,narrow,row,131,3.6489474340702194e-09
340,narrow,row,132,3.6454524344116097e-09
340,narrow,row,133,3.6418953877788484e-09
340,narrow,row,134,3.6382765788303584e-09
340,narrow,row,135,3.6345962966359444e-09
340,narrow,row,136,3.6308548346264964e-09
340,narrow,row,137,3.627052490543004e-09
340,narrow,row,138,3.6231895663849892e-09
340,narrow,row,139,3.6192663683583594e-09
340,narrow,row,140,3.61528320682266e-09
340,narrow,row,141,3.611240396237765e-09
340,narrow,row,142,3.6071382551100235e-09
340,narrow,row,143,3.6029771059378914e-09
340,narrow,row,144,3.5987572751570093e-09
340,narrow,row,145,3.594479093084816e-09
340,narrow,row,146,3.590142893864658e-09
340,narrow,row,147,3.585749015409432e-09
340,narrow,row,148,3.5812977993447817e-09
340,narrow,row,149,3.576789590951861e-09
340,narrow,row,150,3.572224739109659e-09
340,narrow,row,151,3.5676035962369514e-09
340,narrow,row,152,3.5629265182338197e-09
340,narrow,row,153,3.5581938644228528e-09
340,narrow,row,154,3.5534059974899655e-09
340,narrow,row,155,3.5485632834248612e-09
340,narrow,row,156,3.543666091461211e-09
340,narrow,row,157,3.5387147940165088e-09
340,narrow,row,158,3.533709766631617e-09
340,narrow,row,159,3.5286513879100897e-09
340,narrow,column,0,3.6192663683583594e-09
340,narrow,column,1,3.6231895663849892e-09
340,narrow,column,2,3.627052490543004e-09
340,narrow,column,3,3.6308548346264964e-09
340,narrow,column,4,3.6345962966359444e-09
340,narrow,column,5,3.6382765788303584e-09
340,narrow,column,6,3.6418953877788484e-09
340,narrow,column,7,3.6454524344116097e-09
340,narrow,column,8,3.6489474340702194e-09
340,narrow,column,9,3.652380106557351e-09
340,narrow,column,10,3.6557501761858085e-09
340,narrow,column,11,3.6590573718268938e-09
340,narrow,column,12,3.6623014269580867e-09
340,narrow,column,13,3.6654820797100494e-09
340,narrow,column,14,3.6685990729128827e-09
340,narrow,column,15,3.6716521541416703e-09
340,narrow,column,16,3.6746410757613e-09
340,narrow,column,17,3.6775655949705094e-09
340,narrow,column,18,3.68042547384516e-09
340,narrow,column,19,3.6832204793807537e-09
340,narrow,column,20,3.685950383534131e-09
340,narrow,column,21,3.6886149632643797e-09
340,narrow,column,22,3.6912140005729026e-09
340,narrow,column,23,3.6937472825426836e-09
340,narrow,column,24,3.6962146013766695e-09
340,narrow,column,25,3.6986157544353405e-09
340,narrow,column,26,3.7009505442733694e-09
340,narrow,column,27,3.7032187786754157e-09
340,narrow,column,28,3.7054202706910622e-09
340,narrow,column,29,3.707554838668785e-09
340,narrow,column,30,3.7096223062890622e-09
340,narrow,column,31,3.7116225025965423e-09
