temperature_K,fov_case,radius_px,mean_power_W
420,narrow,16.136258182273856,8.288956268141847e-09
420,narrow,18.61875944108522,8.282210826430591e-09
420,narrow,21.10126069989658,8.27457402453764e-09
420,narrow,23.583761958707946,8.26601751136206e-09
420,narrow,26.066263217519307,8.256609246642905e-09
420,narrow,28.54876447633067,8.246068800363166e-09
420,narrow,31.031265735142032,8.234807368950683e-09
420,narrow,33.513766993953396,8.222594348426938e-09
420,narrow,35.996268252764764,8.209601333089432e-09
420,narrow,38.47876951157612,8.195355416117726e-09
420,narrow,40.961270770387486,8.180349551113664e-09
420,narrow,43.44377202919884,8.164407014749582e-09
420,narrow,45.92627328801021,8.147804858568591e-09
420,narrow,48.408774546821576,8.130190106564055e-09
420,narrow,50.89127580563293,8.111745513169653e-09
420,narrow,53.3737770644443,8.092304515248939e-09
420,narrow,55.856278323255665,8.0722298929013e-09
420,narrow,58.33877958206702,8.051279807298175e-09
420,narrow,60.82128084087839,8.029746005011014e-09
420,narrow,63.30378209968974,8.006905585006777e-09
420,narrow,65.78628335850111,7.983577860038926e-09
420,narrow,68.26878461731248,7.959367374020983e-09
420,narrow,70.75128587612383,7.934245392832668e-09
420,narrow,73.2337871349352,7.9083430683879e-09
420,narrow,75.71628839374657,7.88204226860934e-09
420,narrow,78.19878965255792,7.854834647879279e-09
420,narrow,80.68129091136929,7.82781464398837e-09
420,narrow,83.16379217018064,7.798559570861126e-09
420,narrow,85.64629342899201,7.769249973277252e-09
420,narrow,88.12879468780338,7.738898744957637e-09
420,narrow,90.61129594661473,7.707796051445929e-09
420,narrow,93.0937972054261,7.676677507029678e-09
420,narrow,95.57629846423745,7.64536863933497e-09
420,narrow,98.05879972304882,7.616064261172322e-09
300,medium,1.2412506294056813,2.171542100839417e-09
300,medium,3.723751888217044,2.1709749810960472e-09
300,medium,6.206253147028407,2.1698679574782027e-09
300,medium,8.68875440583977,2.1682043484425928e-09
300,medium,11.171255664651131,2.165997958136885e-09
300,medium,13.653756923462495,2.1633485774241437e-09
300,medium,16.136258182273856,2.160117696833784e-09
300,medium,18.61875944108522,2.156266076040228e-09
300,medium,21.10126069989658,2.151912229870724e-09
300,medium,23.583761958707946,2.147042577770847e-09
300,medium,26.066263217519307,2.1416985374826043e-09
300,medium,28.54876447633067,2.13572431093153e-09
300,medium,31.031265735142032,2.1293563280617034e-09
300,medium,33.513766993953396,2.1224678318635615e-09
300,medium,35.996268252764764,2.1151591709447534e-09
300,medium,38.47876951157612,2.1071694346393604e-09
300,medium,40.961270770387486,2.0987797151391766e-09
300,medium,43.44377202919884,2.089896256947283e-09
300,medium,45.92627328801021,2.08067734209978e-09
300,medium,48.408774546821576,2.0709325057798736e-09
300,medium,50.89127580563293,2.0607677789489663e-09
300,medium,53.3737770644443,2.050097918556686e-09
300,medium,55.856278323255665,2.0391266644332404e-09
300,medium,58.33877958206702,2.027727879310977e-09
300,medium,60.82128084087839,2.0160646377708104e-09
300,medium,63.30378209968974,2.00375272225031e-09
300,medium,65.78628335850111,1.991240385394367e-09
300,medium,68.26878461731248,1.978320900341972e-09
300,medium,70.75128587612383,1.964985968870344e-09
300,medium,73.2337871349352,1.9513118387260388e-09
300,medium,75.71628839374657,1.93750519851656e-09
300,medium,78.19878965255792,1.9233044121242004e-09
300,medium,80.68129091136929,1.909283533678351e-09
300,medium,83.16379217018064,1.8941943744763535e-09
300,medium,85.64629342899201,1.8791715474100093e-09
300,medium,88.12879468780338,1.8637149299886612e-09
300,medium,90.61129594661473,1.8479788474665812e-09
300,medium,93.0937972054261,1.8323400948489326e-09
300,medium,95.57629846423745,1.816710221888918e-09
300,medium,98.05879972304882,1.8021752556053222e-09
340,medium,1.2412506294056813,3.739621855492901e-09
340,medium,3.723751888217044,3.738645216179223e-09
340,medium,6.206253147028407,3.736738806115039e-09
340,medium,8.68875440583977,3.733873897943949e-09
340,medium,11.171255664651131,3.730074263847155e-09
340,medium,13.653756923462495,3.725511754092885e-09
340,medium,16.136258182273856,3.7199478409347993e-09
340,medium,18.61875944108522,3.7133149484419096e-09
340,medium,21.10126069989658,3.705817171500519e-09
340,medium,23.583761958707946,3.697431122980296e-09
340,medium,26.066263217519307,3.6882281285502902e-09
340,medium,28.54876447633067,3.6779398876861475e-09
340,medium,31.031265735142032,3.666973557396625e-09
340,medium,33.513766993953396,3.6551108488983212e-09
340,medium,35.996268252764764,3.6425245729537774e-09
340,medium,38.47876951157612,3.628765414199395e-09
340,medium,40.961270770387486,3.6143174426900176e-09
340,medium,43.44377202919884,3.599019201687036e-09
