scenario,alpha,window,snr_like,tpr,fpr,precision,f1,iou,detection_delay_frames,peak_amplitude_ratio,detection_probability,mean_center_error_px
moving_diagonal,0.6,10,4.7179584011346964,0.8192477876106196,0.01686729964959873,0.3975859739876487,0.5297292428893483,0.36693656786992535,0.0,0.9912342762113597,0.9375,6.976254138465293
moving_diagonal,0.9,1,6.527790885052838,0.9496681415929202,0.027007742737651174,0.3382402182850148,0.48381495184065415,0.3267396658879673,36.0,0.9912342762113597,0.2625,10.557294496641754
moving_diagonal,0.9,3,4.960010331986734,0.8153761061946903,0.028925059342149884,0.2954232672281665,0.41768160500785834,0.2722448063660732,,0.9912342762113597,0.1625,11.875005596926812
moving_diagonal,0.9,5,3.8376262706142286,0.7261061946902655,0.0306021815304623,0.2643336874136012,0.37065713568613445,0.23616417172693152,,0.9912342762113597,0.075,12.931250576681455
moving_diagonal,0.9,10,2.2639746551182083,0.575,0.03457386684751893,0.2080385144692131,0.287204201519166,0.1781560686252761,,0.9912342762113597,0.0625,15.265764635878298
moving_fast,0.0,1,9.70885508167394,1.0,3.108398327116537e-05,0.997591533180778,0.9987895123270732,0.997591533180778,0.0,1.0,1.0,0.01430546238723043
moving_fast,0.0,3,13.55200536214167,0.9987831858407079,0.0031055725104555216,0.8334593830373975,0.9007237749877245,0.8328947661195828,0.0,0.9794781827800414,1.0,1.1571535636068238
moving_fast,0.0,5,14.12476094958554,0.9842920353982301,0.005999208771334916,0.7449511754133065,0.8294715396823819,0.7407250560181694,0.0,0.974344576643571,1.0,2.309777414096278
moving_fast,0.0,10,15.463648336248406,0.9398230088495575,0.012577709958177913,0.6224894797886764,0.7124841841495726,0.6157671576489661,2.0,0.9723744395195058,0.7875,5.1497622530961475
moving_fast,0.3,1,12.352315412297585,1.0,0.001210862439244942,0.9200832541330094,0.9566512311083214,0.9200832541330094,0.0,0.9833248718780503,1.0,0.48389427206267577
moving_fast,0.3,3,13.875996450735595,0.9884955752212388,0.0035647677178704644,0.8146047212589552,0.884094440449217,0.8097625567257992,0.0,0.9777558281000809,1.0,1.3884439294076856
moving_fast,0.3,5,14.113111418541456,0.9450221238938052,0.006351022945631286,0.7261006563897785,0.8042134275426018,0.7124177147051589,0.0,0.973336960364022,1.0,2.616733122581581
moving_fast,0.3,10,14.993093809250487,0.8982300884955752,0.01332513846501639,0.6030800653057344,0.6865899088107025,0.5922904205976585,22.0,0.9721062913950637,0.575,5.642091248666126
moving_fast,0.6,1,14.840353976224701,0.9998893805309734,0.004412512716174975,0.7901158454542369,0.8695304720365733,0.7900407059093679,0.0,0.9770958830777198,1.0,1.7163270815577072
moving_fast,0.6,3,14.54790871218702,0.9326327433628319,0.006738159828190346,0.7135775744453456,0.7907759627790998,0.696482583473896,0.0,0.9739498703627467,1.0,2.8724381801289964
moving_fast,0.6,5,14.476742031833194,0.8903761061946902,0.009082174748502318,0.6576699248478055,0.7338183557421233,0.6381865909646522,0.0,0.9724777226126452,0.9375,3.991912558297469
moving_fast,0.6,10,14.113007119125076,0.8361725663716815,0.01517463546965073,0.5647268694829048,0.6396188621327787,0.5486951159279135,23.0,0.9716621256048485,0.525,6.707128955485106
moving_fast,0.9,1,14.118042879860502,0.9288716814159292,0.02133632869899401,0.5195071609539431,0.6137771100094597,0.5084907040635473,25.0,0.955391401706741,0.5,9.302325890467781
moving_fast,0.9,3,12.994180356339857,0.8108407079646017,0.023353961794958744,0.4710579286817932,0.5504202421289823,0.4554492442363287,27.0,0.9551048274905651,0.45,10.681555395905113
moving_fast,0.9,5,12.155637117017426,0.726216814159292,0.025293884932745564,0.4303519139886614,0.49945820097489735,0.41542569717124217,28.0,0.9551048274905651,0.4375,11.937387199422837
moving_fast,0.9,10,10.788339707426987,0.5970132743362833,0.029454899966090197,0.3598550585891055,0.4149946167328661,0.34911194470084383,32.0,0.9551048274905651,0.3875,14.786346277830868
moving_with_noise_burst,0.0,1,8.89399335587145,0.9690265486725664,1.69548999660902e-05,0.998689882032668,0.9814946143414902,0.9677164307052342,0.0,1.0,1.0,0.03339666680533552
moving_with_noise_burst,0.0,3,12.34484788092451,0.9850663716814159,0.0026944161862778346,0.8256139625051487,0.8972577990233596,0.8139716540359971,0.0,0.9551620504336655,1.0,0.9922063363175069
moving_with_noise_burst,0.0,5,11.948589094641527,0.9673672566371682,0.00511472815643721,0.7106771338699595,0.8177210801736361,0.6927311976191415,0.0,0.9551620504336655,1.0,1.9379042987961355
moving_with_noise_burst,0.0,10,8.064698819119537,0.9133849557522122,0.010271843562789646,0.5389540296108246,0.6750577524727761,0.5138999522387184,0.0,0.9551620504336655,1.0,4.235578414598281
moving_with_noise_burst,0.3,1,11.348056394797988,0.9930309734513274,0.0009805583813722167,0.9296413652937126,0.9597127921303074,0.9227664090257732,0.0,0.9551620504336655,1.0,0.3876371420337628
moving_with_noise_burst,0.3,3,12.38220048417189,0.973783185840708,0.003139482310387702,0.8001818504132571,0.8774625246743014,0.782208892174878,0.0,0.9551620504336655,1.0,1.2138255819484485
