tp,fp,tn,fn,tpr,recall,fpr,precision,f1,iou,size_px,fill_factor,frame_idx,snr_like,anomaly_area_px
1024,0,11264,0,1.0,1.0,0.0,1.0,1.0,1.0,32,0.5,7,7.60967603539357,1024
1024,0,11264,0,1.0,1.0,0.0,1.0,1.0,1.0,32,0.5,8,7.7313355051817485,1024
1024,0,11264,0,1.0,1.0,0.0,1.0,1.0,1.0,32,0.5,9,7.665485124044662,1024
1,7,12280,0,1.0,1.0,0.0005697078212745178,0.125,0.2222222222222222,0.125,1,0.75,0,13.374445029942363,1
1,5,12282,0,1.0,1.0,0.000406934158053227,0.16666666666666666,0.2857142857142857,0.16666666666666666,1,0.75,1,13.04551568223386,1
1,6,12281,0,1.0,1.0,0.0004883209896638724,0.14285714285714285,0.25,0.14285714285714285,1,0.75,2,12.99664694288868,1
1,1,12286,0,1.0,1.0,8.13868316106454e-05,0.5,0.6666666666666666,0.5,1,0.75,3,11.031732441651515,1
1,2,12285,0,1.0,1.0,0.0001627736632212908,0.3333333333333333,0.5,0.3333333333333333,1,0.75,4,11.805809528751274,1
1,2,12285,0,1.0,1.0,0.0001627736632212908,0.3333333333333333,0.5,0.3333333333333333,1,0.75,5,10.696402689702472,1
1,5,12282,0,1.0,1.0,0.000406934158053227,0.16666666666666666,0.2857142857142857,0.16666666666666666,1,0.75,6,11.528654566144755,1
1,5,12282,0,1.0,1.0,0.000406934158053227,0.16666666666666666,0.2857142857142857,0.16666666666666666,1,0.75,7,10.619026474320563,1
1,6,12281,0,1.0,1.0,0.0004883209896638724,0.14285714285714285,0.25,0.14285714285714285,1,0.75,8,10.743285445665876,1
1,5,12282,0,1.0,1.0,0.000406934158053227,0.16666666666666666,0.2857142857142857,0.16666666666666666,1,0.75,9,12.115008201829284,1
4,0,12284,0,1.0,1.0,0.0,1.0,1.0,1.0,2,0.75,0,11.827608485128104,4
4,0,12284,0,1.0,1.0,0.0,1.0,1.0,1.0,2,0.75,1,11.719784614727311,4
4,0,12284,0,1.0,1.0,0.0,1.0,1.0,1.0,2,0.75,2,11.372020681191511,4
4,0,12284,0,1.0,1.0,0.0,1.0,1.0,1.0,2,0.75,3,10.351599760966137,4
4,0,12284,0,1.0,1.0,0.0,1.0,1.0,1.0,2,0.75,4,11.392749056780653,4
4,0,12284,0,1.0,1.0,0.0,1.0,1.0,1.0,2,0.75,5,11.1946911895398,4
4,0,12284,0,1.0,1.0,0.0,1.0,1.0,1.0,2,0.75,6,11.837980110353245,4
4,0,12284,0,1.0,1.0,0.0,1.0,1.0,1.0,2,0.75,7,11.751488269077985,4
